event_time;symbol;kline_start_time;kline_Close_Time;open_price;close_price;high_price;low_price;base_asset_volume;number_of_trades;quote_asset_volume;taker_buy_base_asset_volume;taker_buy_quote_asset_volume
2021-04-10 16:00:00.000;BTCEUR;2021-04-10 15:55:00.000;2021-04-10 15:59:59.999;50397.80000000;50443.39000000;50450.00000000;50350.95000000;7.85136900;781;395708.16045691;5.15284900;259696.75326194
2021-04-10 16:05:00.000;BTCEUR;2021-04-10 16:00:00.000;2021-04-10 16:04:59.999;50443.38000000;50362.87000000;50443.88000000;50362.60000000;8.39551300;760;423198.95074951;2.42559800;122254.14007082
2021-04-10 16:10:00.000;BTCEUR;2021-04-10 16:05:00.000;2021-04-10 16:09:59.999;50362.86000000;50416.51000000;50416.51000000;50329.95000000;7.94503200;793;400208.08821295;6.56852100;330875.58237536
2021-04-10 16:15:00.000;BTCEUR;2021-04-10 16:10:00.000;2021-04-10 16:14:59.999;50416.52000000;50445.17000000;50460.45000000;50406.37000000;3.15269400;670;159019.86038353;1.60877400;81150.17483186
2021-04-10 16:20:00.000;BTCEUR;2021-04-10 16:15:00.000;2021-04-10 16:19:59.999;50445.17000000;50480.88000000;50486.41000000;50411.13000000;9.01326000;789;454644.95386123;4.70583400;237370.80459594
2021-04-10 16:25:00.000;BTCEUR;2021-04-10 16:20:00.000;2021-04-10 16:24:59.999;50480.87000000;50419.05000000;50490.00000000;50413.28000000;3.76778200;714;190116.44112479;1.87180700;94447.65935665
2021-04-10 16:30:00.000;BTCEUR;2021-04-10 16:25:00.000;2021-04-10 16:29:59.999;50419.08000000;50482.46000000;50484.88000000;50385.37000000;8.83536400;807;445653.44796260;4.68753000;236407.37938131
2021-04-10 16:35:00.000;BTCEUR;2021-04-10 16:30:00.000;2021-04-10 16:34:59.999;50482.79000000;50451.95000000;50492.81000000;50437.64000000;5.39430000;683;272266.74856744;2.54015600;128209.68439974
2021-04-10 16:40:00.000;BTCEUR;2021-04-10 16:35:00.000;2021-04-10 16:39:59.999;50453.81000000;50400.34000000;50454.23000000;50400.34000000;4.76923700;784;240460.60166948;2.59119800;130651.64479014
2021-04-10 16:45:00.000;BTCEUR;2021-04-10 16:40:00.000;2021-04-10 16:44:59.999;50400.31000000;50364.84000000;50415.39000000;50355.76000000;5.47193300;882;275707.54212360;1.52045800;76600.89668589
2021-04-10 16:50:00.000;BTCEUR;2021-04-10 16:45:00.000;2021-04-10 16:49:59.999;50364.94000000;50327.16000000;50399.94000000;50286.64000000;7.78049400;825;391680.08990194;1.98565000;99980.58884401
2021-04-10 16:55:00.000;BTCEUR;2021-04-10 16:50:00.000;2021-04-10 16:54:59.999;50327.17000000;50368.97000000;50379.99000000;50300.62000000;6.19993600;746;312112.90710659;3.36629100;169481.20847590
2021-04-10 17:00:00.000;BTCEUR;2021-04-10 16:55:00.000;2021-04-10 16:59:59.999;50369.02000000;50416.94000000;50424.93000000;50369.02000000;2.73082500;662;137635.47499967;1.41769700;71458.48042131
2021-04-10 17:05:00.000;BTCEUR;2021-04-10 17:00:00.000;2021-04-10 17:04:59.999;50423.06000000;50421.33000000;50477.74000000;50407.30000000;5.11098200;802;257832.27422048;2.61355600;131837.18849639
2021-04-10 17:10:00.000;BTCEUR;2021-04-10 17:05:00.000;2021-04-10 17:09:59.999;50423.33000000;50370.83000000;50462.84000000;50368.77000000;8.43566800;981;425394.78522635;3.59284500;181212.65164122
2021-04-10 17:15:00.000;BTCEUR;2021-04-10 17:10:00.000;2021-04-10 17:14:59.999;50374.10000000;50314.13000000;50387.08000000;50301.58000000;9.02288000;922;454175.65048024;3.42957500;172648.77531641
2021-04-10 17:20:00.000;BTCEUR;2021-04-10 17:15:00.000;2021-04-10 17:19:59.999;50314.12000000;50194.18000000;50353.98000000;50194.18000000;9.59558200;1078;482430.64307473;3.83790600;192975.00396111
2021-04-10 17:25:00.000;BTCEUR;2021-04-10 17:20:00.000;2021-04-10 17:24:59.999;50194.19000000;50221.86000000;50236.47000000;50167.08000000;8.01975700;909;402560.45390042;3.19774400;160535.56357330
2021-04-10 17:30:00.000;BTCEUR;2021-04-10 17:25:00.000;2021-04-10 17:29:59.999;50221.86000000;50264.49000000;50285.56000000;50221.86000000;7.74129600;673;389048.22154273;4.50420200;226361.27587223
2021-04-10 17:35:00.000;BTCEUR;2021-04-10 17:30:00.000;2021-04-10 17:34:59.999;50262.77000000;50250.31000000;50309.77000000;50225.28000000;7.65722800;798;384925.37000777;4.44632500;223515.58143918
2021-04-10 17:40:00.000;BTCEUR;2021-04-10 17:35:00.000;2021-04-10 17:39:59.999;50252.17000000;50300.00000000;50329.75000000;50205.05000000;5.01756500;719;252210.64610024;2.03434400;102225.20308206
2021-04-10 17:45:00.000;BTCEUR;2021-04-10 17:40:00.000;2021-04-10 17:44:59.999;50300.00000000;50363.56000000;50365.18000000;50287.82000000;4.34310100;689;218589.42051432;2.16716400;109089.87396076
2021-04-10 17:50:00.000;BTCEUR;2021-04-10 17:45:00.000;2021-04-10 17:49:59.999;50364.63000000;50287.49000000;50375.24000000;50286.38000000;5.34932100;777;269300.54698595;2.57282200;129537.01060413
2021-04-10 17:55:00.000;BTCEUR;2021-04-10 17:50:00.000;2021-04-10 17:54:59.999;50287.49000000;50247.29000000;50295.71000000;50199.99000000;8.95512600;678;449841.83464920;4.45752500;223935.03362541
2021-04-10 18:00:00.000;BTCEUR;2021-04-10 17:55:00.000;2021-04-10 17:59:59.999;50254.96000000;50301.19000000;50347.27000000;50253.94000000;5.36875700;673;270104.03546119;3.22838900;162405.07591620
2021-04-10 18:05:00.000;BTCEUR;2021-04-10 18:00:00.000;2021-04-10 18:04:59.999;50304.51000000;50481.95000000;50541.06000000;50301.37000000;23.16164600;1450;1168928.20457709;17.74674100;895804.83136930
2021-04-10 18:10:00.000;BTCEUR;2021-04-10 18:05:00.000;2021-04-10 18:09:59.999;50481.95000000;50464.93000000;50508.08000000;50420.91000000;9.59681000;961;484253.99773542;4.16696900;210286.22257877
2021-04-10 18:15:00.000;BTCEUR;2021-04-10 18:10:00.000;2021-04-10 18:14:59.999;50465.08000000;50419.28000000;50505.00000000;50404.37000000;7.66190400;839;386706.64350403;3.58716400;181049.99719272
2021-04-10 18:20:00.000;BTCEUR;2021-04-10 18:15:00.000;2021-04-10 18:19:59.999;50423.86000000;50435.72000000;50448.11000000;50390.41000000;7.64459600;839;385494.60366412;4.69710000;236861.15029966
